id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
71,Elżbieta Duda,PiS,1962-11-20,63,Skała,K,"Państwowe Studium Sztuk Plastycznych, Konserwacja Rzeźby, Konserwacja Rzeźby Architektonicznej - technik (1983)",średnie policealne/pomaturalne,,0,parlamentarzysta,13,Kraków,małopolskie,11388,poseł na Sejm RP VIII i IX kadencji,3,True,,,
72,Michał Paweł Dworczyk,PiS,1975-07-22,50,Warszawa,M,"Uniwersytet Warszawski, Wydział Historii, Historia - magister (2001)",wyższe,magister,0,"historyk, polityk",2,Wałbrzych,dolnośląskie,40264,"poseł na Sejm RP VII, VIII i IX kadencji",4,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
73,Adam Dziedzic,PSL,1969-09-26,56,Rzeszów,M,"Politechnika Rzeszowska, Wydział Budowy Maszyn i Lotnictwa, Mechanika i Budowa Maszyn, Projektowanie Procesów Technologicznych - inżynier (1999) Politechnika Rzeszowska, Zintegrowane Zarządzanie Jakością, Środowiskiem i Bezpieczeństwem (2003) - studia podyplomowe Politechnika Rzeszowska, Wydział Budowy Maszyn i Lotnictwa, Mechanika i Budowa Maszyn, Organizacja i Zarządzanie w Przemyśle - magister (2008)",wyższe,magister,1,inżynier mechanik,23,Rzeszów,podkarpackie,24304,brak,1,True,,,
74,Jan Michał Dziedziczak,PiS,1981-08-03,44,Warszawa,M,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Politologia - magister (2007)",wyższe,magister,0,urzędnik państwowy,36,Kalisz,wielkopolskie,14689,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
75,Agnieszka Dziemianowicz-Bąk,Lewica,1984-01-20,41,Wrocław,K,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Filozofia - magister (2008) Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych, Pedagogika - magister (2008) Uniwersytet Wrocławski, Filozofia (2015) - studia doktoranckie Uniwersytet Wrocławski, doktor nauk humanistycznych w zakresie filozofii - doktor (2018)",wyższe,doktor,0,"filozof, pedagog",26,Słupsk,pomorskie,30631,poseł na Sejm RP IX kadencji,2,True,,,
76,Magdalena Filiks,KO,1978-12-08,47,Barlinek,K,"Uniwersytet Szczeciński, Wydział Nauk Ekonomicznych i Zarządzania, Zarządzanie i Marketing - licencjat (2001) Uniwersytet Szczeciński, Wydział Nauk Ekonomicznych i Zarządzania, Zarządzanie i Marketing - magister (2003)",wyższe,magister,0,ekonomista,41,Szczecin,zachodniopomorskie,40772,poseł na Sejm RP IX kadencji,2,True,,,
77,Magdalena Filipek-Sobczak,PiS,1983-09-07,42,Lublin,K,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Humanistyczny, Kulturoznawstwo - magister (2007) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Prawo - magister (2012) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Prawo Gospodarcze i Handlowe (2016) - studia podyplomowe Politechnika Lubelska, Master of Business Administration (2018) - studia podyplomowe Uniwersytet Ekonomiczny we Wrocławiu, HR Business Partner (2022) - studia podyplomowe",wyższe,magister,3,prawnik,6,Lublin,lubelskie,10480,brak,1,True,,,
78,Radosław Fogiel,PiS,1982-02-16,43,Radom,M,Katolickie Liceum Ogólnokształcące im. Filipa Neri (2001),średnie ogólne,,0,parlamentarzysta,17,Radom,mazowieckie,32791,poseł na Sejm RP IX kadencji,2,True,,,
79,Bronisław Foltyn,Konfederacja,1974-08-12,51,Bielsko-Biała,M,"Wyższa Szkoła Turystyki i Ekologii, Wydział Nauk Społecznych, Politologia - licencjat (2021)",wyższe,licencjat,0,przedsiębiorca prywatny,27,Bielsko-Biała,śląskie,18134,brak,1,True,,,
80,Roman Fritz,Konfederacja_KP,1966-01-03,60,Mikołów,M,"Politechnika Śląska, Wydział Budownictwa, Technologia i Organizacja Budownictwa - magister inżynier (1992)",wyższe,magister inżynier,0,przedsiębiorca prywatny,30,Bielsko-Biała,śląskie,11089,brak,1,True,,,
81,Joanna Frydrych,KO,1978-01-13,47,Krosno,K,"Wyższa Szkoła Informatyki i Zarządzania, Wydział Ekonomiczny, Ekonomia w zakresie finansów, ubezpieczeń i bankowości - magister (2003) Uniwersytet Rzeszowski, Europeistyka o specjalności administracja publiczna i samorządowa (2004) - studia podyplomowe Wyższa Szkoła Menedżerska w Warszawie, Executive Master of Business Administration (2018) - studia podyplomowe",wyższe,magister,2,"ekonomista, pracownik administracji państwowej",22,Krosno,podkarpackie,29681,poseł na Sejm RP VIII i IX kadencji,3,True,,,
