id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
191,Andrzej Kryj,PiS,1960-06-09,65,Ostrowiec Świętokrzyski,M,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Humanistyczny, Historia - magister (1984) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Historia (1992) - studia podyplomowe Bałtycka Wyższa Szkoła Humanistyczna w Koszalinie, Organizacja i Zarządzanie - Menedżer oświaty samorządowej (2000) - studia podyplomowe Wałbrzyska Wyższa Szkoła Zarządzania i Przedsiębiorczości, Nadzór pedagogiczny z elementami ewaluacji (2001) - studia podyplomowe Katolicki Uniwersytet Lubelski Jana Pawła II, Master of Business Administration (2022) - studia podyplomowe",wyższe,magister,4,urzędnik samorządowy,33,Kielce,świętokrzyskie,6968,poseł na Sejm RP VIII i IX kadencji,3,True,,,
192,Mariusz Krystian,PiS,1976-09-18,49,Zator,M,"Akademia Pedagogiczna w Krakowie, Wydział Humanistyczny, Politologia i Nauki Społeczne - magister (2002) Uniwersytet Jagielloński w Krakowie, Historia (2005) - studia podyplomowe Akademia Górniczo-Hutnicza w Krakowie, Informatyka w Szkole (2006) - studia podyplomowe",wyższe,magister,2,"nauczyciel, technik elektryk",12,Kraków,małopolskie,11366,brak,1,True,,,
193,Marek Krząkała,KO,1967-10-22,58,Rybnik,M,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia Germańska - magister (1995) Wyższa Szkoła Lingwistyczna w Częstochowie, Nowe Horyzonty Dydaktyki (2001) - studia podyplomowe",wyższe,magister,1,"nauczyciel, tłumacz",30,Bielsko-Biała,śląskie,18605,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
194,Adam Krzemiński,KO,1975-01-14,50,Ciechanów,M,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Matematyki i Informatyki, Matematyka - licencjat (1998) Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Geodezji i Gospodarki Przestrzennej, Matematyka - magister (2000) Uniwersytet Warmińsko-Mazurski w Olsztynie, Nauczanie fizyki z astronomią (2003) - studia podyplomowe Uniwersytet w Białymstoku, Zarządzanie Projektami Unii Europejskiej (2008) - studia podyplomowe",wyższe,magister,2,"nauczyciel, pracownik administracji samorządowej, technik elektronik",16,Płock,mazowieckie,6071,brak,1,True,,,
195,Henryka Krzywonos-Strycharska,KO,1953-03-27,72,Olsztyn,K,Liceum Ogólnokształcące Centrum Kształcenia Ustawicznego w Kościerzynie (2004),średnie ogólne,,0,emeryt,26,Słupsk,pomorskie,8460,poseł na Sejm RP VIII i IX kadencji,3,True,,,
196,Krzysztof Kubów,PiS,1984-07-22,41,Lubin,M,"Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, Administracja - magister (2008) Wyższa Szkoła Bankowa we Wrocławiu, Studia Menadżerskie (2010) - studia podyplomowe Wyższa Szkoła Bankowa we Wrocławiu, MBE EXECUTIVE (2018) - studia podyplomowe",wyższe,magister,2,administratywista,1,Legnica,dolnośląskie,15928,poseł na Sejm RP VIII i IX kadencji,3,True,,,
197,Anita Kucharska-Dziedzic,Lewica,1972-01-21,53,Wołczyn,K,"Uniwersytet Jagielloński w Krakowie, Wydział Humanistyczny, Filologia Polska - magister (1996) Uniwersytet Jagielloński w Krakowie, Literaturoznawstwo - doktor (2006)",wyższe,doktor,0,"nauczycielka akademicka, parlamentarzystka",8,Zielona Góra,lubuskie,23051,poseł na Sejm RP IX kadencji,2,True,,,
198,Marek Kuchciński,PiS,1955-08-09,70,Przemyśl,M,Pomaturalne Studium Ogrodnictwa - technik (1978),średnie policealne/pomaturalne,,0,urzędnik państwowy,22,Krosno,podkarpackie,50519,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",7,True,,,
199,Paweł Kukiz,Republikanie,1963-06-24,62,Paczków,M,Liceum Ogólnokształcące w Niemodlinie (1981),średnie ogólne,,0,muzyk,21,Opole,opolskie,43292,poseł na Sejm RP VIII i IX kadencji,3,True,,,
200,Marcin Kulasek,Lewica,1976-04-04,49,Jędrzejów,M,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Nauki o Żywności, Technologia Żywności - magister inżynier (2000) Uniwersytet Warmińsko-Mazurski w Olsztynie, Zarządzanie Funduszami Unijnymi (2006) - studia podyplomowe Uniwersytet Warmińsko-Mazurski w Olsztynie, Technologia Żywności i Żywienia - doktor (2007) Akademia Morska w Gdyni, Bezpieczeństwo Zasobów Strategicznych i Zarządzanie (2009) - studia podyplomowe",wyższe,doktor,2,parlamentarzysta,35,Olsztyn,warmińsko-mazurskie,11514,poseł na Sejm RP IX kadencji,2,True,,,
201,Maria Kurowska,PiS,1954-06-03,71,Brzostek,K,"Akademia Ekonomiczna w Krakowie, Wydział Ekonomiki i Obrotu, Towaroznawstwo - magister inżynier (1979) Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie, Zarządzanie Oświatą (1990) - studia podyplomowe",wyższe,magister inżynier,1,parlamentarzysta,22,Krosno,podkarpackie,20813,poseł na Sejm RP IX kadencji,2,True,,,
202,Władysław Kurowski,PiS,1960-04-14,65,Myślenice,M,"Wyższa Szkoła Pedagogiczna w Krakowie, Wydział Matematyczno-Fizyczno-Techniczny, Wychowanie Techniczne - magister (1986) Akademia Pedagogiczna w Krakowie, Organizacja i Zarządzanie Oświatą (2005) - studia podyplomowe Uniwersytet Pedagogiczny w Krakowie, Informatyka z Zarządzaniem Sieciami Komputerowymi (2010) - studia podyplomowe",wyższe,magister,2,pracownik administracji samorządowej,12,Kraków,małopolskie,12320,poseł na Sejm RP IX kadencji,2,True,,,
203,Zbigniew Krzysztof Kuźmiuk,PiS,1956-09-19,69,Komorowo,M,"Politechnika Świętokrzyska w Kielcach, Wydział Ekonomiczny w Radomiu, Ekonomia - magister (1979) Szkoła Główna Handlowa w Warszawie, Ekonomia - doktor (1990)",wyższe,doktor,0,nauczyciel akademicki,17,Radom,mazowieckie,24702,poseł na Sejm RP IV i VII kadencji,3,True,,,
204,Anna Kwiecień,PiS,1964-09-30,61,Radom,K,"Wyższa Szkoła Ubezpieczeń i Bankowości (Warszawa), Wydział Ekonomiki i Organizacji Ochrony Zdrowia, Ekonomia - magister (2003) Wyższa Szkoła Biznesu w Radomiu, Kontrola i Audyt Wewnętrzny w Gospodarce i Administracji Publicznej (2007) - studia podyplomowe Wyższa Szkoła Nauk Społecznych i Technicznych w Radomiu, Organizacja Pomocy Społecznej (2009) - studia podyplomowe",wyższe,magister,2,urzędnik samorządowy,17,Radom,mazowieckie,34570,poseł na Sejm RP VIII i IX kadencji,3,True,,,
205,Piotr Lachowicz,KO,1967-09-29,58,Nowy Sącz,M,"Akademia Ekonomiczna w Krakowie, Wydział Ekonomiki Produkcji, Organizacja i Zarządzanie - magister (1991) Politechnika Krakowska, Zarządzanie w Jednostkach Samorządu Terytorialnego (2004) - studia podyplomowe Uniwersytet Ekonomiczny w Krakowie, Zarządzanie (2009) - studia doktoranckie",wyższe,magister,1,ekonomista,14,Nowy Sącz,małopolskie,12918,brak,1,True,,,
206,Stanisław Lamczyk,KO,1957-08-12,68,Brusy,M,"Wyższa Szkoła Inżynierska Koszalin, Wydział Mechaniczny, Konstrukcja i Eksploatacja Maszyn Rolniczych - magister inżynier (1984) Uniwersytet Gdański, Organizacja i Zarządzanie (2002) - studia podyplomowe Uniwersytet im. Adama Mickiewicza w Poznaniu, Nauki Humanistyczne - doktor (2010)",wyższe,doktor,1,inżynier mechanik,26,Słupsk,pomorskie,8722,"poseł na Sejm RP V, VI, VII i VIII kadencji, senator X kadencji",5,True,,,
207,Maciej Lasek,KO,1967-06-15,58,Elbląg,M,"Politechnika Warszawska, Wydział Mechaniczny Energetyki i Lotnictwa, Mechanika, Lotnictwo - magister inżynier (1992) Wojskowa Akademia Techniczna w Warszawie, Mechanika, Mechanika Lotu - doktor (2002)",wyższe,doktor,0,"inżynier mechanik, nauczyciel akademicki",20,Warszawa,mazowieckie,20565,poseł na Sejm RP IX kadencji,2,True,,,
208,Gabriela Lenartowicz,KO,1960-12-12,65,Katowice,K,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1998)",wyższe,magister,0,parlamentarzysta,30,Bielsko-Biała,śląskie,16515,poseł na Sejm RP VIII i IX kadencji,3,True,,,
209,Ewa Leniart,PiS,1976-08-27,49,Dylągówka,K,"Uniwersytet Marii Curie-Skłodowskiej Filia w Rzeszowie, Wydział Prawa, Prawo - magister (2000) Uniwersytet Śląski, Prawo - doktor (2014)",wyższe,doktor,0,prawnik,23,Rzeszów,podkarpackie,38795,poseł na Sejm RP IX kadencji,2,True,,,
210,Aleksandra Leo,Polska2050,1981-03-28,44,Warszawa,K,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo Handlowe - magister (2005) Collegium Civitas (Warszawa), Historia Sztuki Współczesnej (2023) - studia podyplomowe",wyższe,magister,1,prawnik,2,Wałbrzych,dolnośląskie,16661,brak,1,True,,,
211,Izabela Leszczyna,KO,1962-09-03,63,Częstochowa,K,"Uniwersytet Jagielloński w Krakowie, Wydział Filologiczny, Filologia Polska - magister (1989) Akademia Pedagogiczna w Krakowie, Filozofia i Etyka (1995) - studia podyplomowe Uniwersytet Gdański, Pomiar Dydaktyczny i Egzaminowanie (1998) - studia podyplomowe Instytut Badań Edukacyjnych w Warszawie, Konstruowanie Programów Nauczania (2001) - studia podyplomowe Uniwersytet Jagielloński w Krakowie, Zarządzanie Jakością (2005) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Finanse Publiczne (2010) - studia podyplomowe",wyższe,magister,5,nauczyciel,28,Częstochowa,śląskie,60549,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
212,Joanna Lichocka,PiS,1969-11-21,56,Warszawa,K,"Uniwersytet Warszawski, Wydział Filologii Polskiej - magister (1993) Uniwersytet Jagielloński w Krakowie, Studium Literacko Artystyczne (2006) - studia podyplomowe",wyższe,magister,1,dziennikarz,11,Sieradz,łódzkie,36060,poseł na Sejm RP VIII i IX kadencji,3,True,,,
213,Krzysztof Lipiec,PiS,1959-10-11,66,Starachowice,M,"Wyższa Szkoła Pedagogiczna w Kielcach, Wydział Matematyczno-Przyrodniczy, Fizyka - magister (1985)",wyższe,magister,0,nauczyciel,33,Kielce,świętokrzyskie,14962,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji, senator IV kadencji",6,True,,,
214,Łukasz Litewka,Lewica,1989-05-09,36,Sosnowiec,M,"Uniwersytet Śląski, Wydział Nauk Społecznych, Socjologia - licencjat",wyższe,licencjat,0,socjolog,32,Katowice,śląskie,40579,brak,1,True,,,
215,Grzegorz Lorek,PiS,1970-10-31,55,Piotrków Trybunalski,M,"Katolicki Uniwersytet Lubelski, Wydział Prawa i Administracji, Administracja - magister (2008)",wyższe,magister,0,pracownik administracji samorządowej,10,Piotrków Trybunalski,łódzkie,19711,poseł na Sejm RP VIII i IX kadencji,3,True,,,
216,Radosław Lubczyk,PSL,1978-07-18,47,Szczecinek,M,"Akademia Medyczna w Warszawie, Wydział Lekarski, Stomatologia - lekarz dentysta (2004) Akademia Wojsk Lądowych im. Gen. Tadeusza Kościuszki, Oficer (2009)",wyższe,lekarz dentysta,0,lekarz,40,Koszalin,zachodniopomorskie,14353,poseł na Sejm RP VIII i IX kadencji,3,True,,,
217,Katarzyna Anna Lubnauer,KO,1969-07-24,56,Łódź,K,"Uniwersytet Łódzki, Wydział Matematyki, Matematyka - magister (1993) Uniwersytet Łódzki, Matematyka - doktor (2001)",wyższe,doktor,0,nauczyciel akademicki,19,Warszawa,mazowieckie,22529,poseł na Sejm RP VIII i IX kadencji,3,True,,,
218,Adam Luboński,Polska2050,1969-04-30,56,Piła,M,Liceum Ogólnokształcące w Poznaniu (2016),średnie ogólne,,0,przedsiębiorca prywatny,38,Piła,wielkopolskie,8724,brak,1,True,,,
219,Artur Jarosław Łącki,KO,1961-12-05,64,Trzebiatów,M,"Uniwersytet Szczeciński, Wydział Prawa i Administracji, Prawo - magister (2001)",wyższe,magister,0,prawnik,41,Szczecin,zachodniopomorskie,6100,poseł na Sejm RP IX kadencji,2,True,,,
220,Alicja Łepkowska-Gołaś,KO,1983-01-01,43,Łomża,K,"Wyższa Szkoła Administracji Publicznej w Ostrołęce, Wydział Administracji, Administracja Publiczna - licencjat (2009) Wyższa Szkoła Promocji w Warszawie, Wydział Zarządzania, Zarządzanie Zasobami Ludzkimi - magister (2012) Uczelnia Jańskiego w Łomży, Przygotowanie Pedagogiczne (2014) - studia podyplomowe Wyższa Szkoła Promocji, Mediów i Show Businessu w Warszawie, Organizacja Wydarzeń i Sponsoring (2017) - studia podyplomowe",wyższe,magister,2,archiwista,24,Białystok,podlaskie,13511,brak,1,True,,,
221,Dorota Łoboda,KO,1975-08-19,50,Warszawa,K,"Akademia Teatralna, Wydział Wiedzy o Teatrze - magister (2001) Uniwersytet Warszawski, Lingwistyka Stosowana i Filologie Wschodniosłowiańskie, Rusycystyka - magister (2003)",wyższe,magister,0,teatrolożka,19,Warszawa,mazowieckie,10510,brak,1,True,,,
222,Krystian Łuczak,KO,1975-01-16,50,Włocławek,M,"Uniwersytet Jagielloński w Krakowie, Wydział Historyczny, Archeologia Śródziemnomorska - magister (2004) Wyższa Szkoła Humanistyczno-Ekonomiczna we Włocławku, Przygotowanie Pedagogiczne (2007) - studia podyplomowe Wyższa Szkoła im. Pawła Włodkowica w Płocku, Politologia i Stosunki Międzynarodowe (2008) - studia podyplomowe Wyższa Szkoła Bankowa w Toruniu, Zarządzanie (2009) - studia podyplomowe Polska Akademia Nauk w Warszawie, Instytut Archeologii i Etnologii, Archeologia - doktor (2017)",wyższe,doktor,3,archeolog,5,Toruń,kujawsko-pomorskie,16451,brak,1,True,,,
223,Sebastian Łukaszewicz,PiS,1991-02-09,34,Białystok,M,"Uniwersytet w Białymstoku, Wydział Prawa, Bezpieczeństwo Narodowe - licencjat (2017) Menedżerska Akademia Nauk Stosowanych, Master of Business Administration - Zarządzanie dla Kadry Menedżerskiej (2020) - studia podyplomowe",wyższe,licencjat,1,pracownik administracji samorządowej,24,Białystok,podlaskie,11554,brak,1,True,,,
224,Marzena Anna Machałek,PiS,1960-08-29,65,Wrocław,K,"Uniwersytet Wrocławski, Wydział Filologii Polskiej, Specjalność Nauczycielska - magister (1992) Wałbrzyska Wyższa Szkoła Zarządzania i Przedsiębiorczości, Nadzór pedagogiczny (2005) - studia podyplomowe Gnieźnieńska Wyższa Szkoła Humanistyczno-Menedżerska, Organizacja i Zarządzanie (2006) - studia podyplomowe",wyższe,magister,2,nauczyciel,1,Legnica,dolnośląskie,18363,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
225,Antoni Macierewicz,PiS,1948-08-03,77,Warszawa,M,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1971)",wyższe,magister,0,historyk,10,Piotrków Trybunalski,łódzkie,32496,"poseł na Sejm RP I, III, IV, VI, VII, VIII i IX kadencji",8,True,,,
226,Marlena Magdalena Maląg,PiS,1964-11-02,61,Ostrów Wielkopolski,K,"Wyższa Szkoła Pedagogiczna, Wydział Humanistyczny, Pedagogika - magister Uniwersytet im. Adama Mickiewicza w Poznaniu, Matematyka i Informatyka - studia podyplomowe Politechnika Poznańska, Zarządzanie - studia podyplomowe",wyższe,magister,2,parlamentarzysta,36,Kalisz,wielkopolskie,109870,poseł na Sejm RP IX kadencji,2,False,Zrzeczenie,Wybrana na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
227,Ewa Malik,PiS,1961-01-11,65,Sosnowiec,K,"Politechnika Śląska, Wydział Metalurgiczny, Hutnictwo, Metalurgia Metali Nieżelaznych - magister inżynier (1986) Uniwersytet Śląski, Dziennikarstwo (1995) - studia podyplomowe Wyższa Szkoła Handlu i Usług w Poznaniu, Executive Master of Business Administration (MBA) (2021) - studia podyplomowe",wyższe,magister inżynier,2,inżynier metalurg,32,Katowice,śląskie,39498,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
228,Mirosław Maliszewski,PSL,1968-02-28,57,Warszawa,M,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Ekonomiczno-Rolniczy, Ekonomika Rolnictwa - magister inżynier (1996)",wyższe,magister inżynier,0,pracownik administracji samorządowej,17,Radom,mazowieckie,17857,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
229,Maciej Małecki,PiS,1974-10-09,51,Warszawa,M,"Katolicki Uniwersytet Lubelski Jana Pawła II, Studium samorządowe (1996) - studia podyplomowe Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Nauk Humanistycznych, Historia - magister (1998) Szkoła Główna Handlowa w Warszawie, Menadżerskie (2006) - studia podyplomowe Wyższa Szkoła Kultury Społecznej i Medialnej, Wykorzystywanie Funduszy Unijnych (2009) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Zarządzanie Zasobami Pracy (2010) - studia podyplomowe Wyższa Szkoła Handlu i Usług w Poznaniu, MBA (2018) - studia podyplomowe",wyższe,magister,5,historyk,16,Płock,mazowieckie,33696,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
230,Arkadiusz Marchewka,KO,1986-01-18,39,Szczecin,M,"Zachodniopomorski Uniwersytet Technologiczny, Wydział Ekonomiczny, Zarządzanie i Marketing - licencjat (2009) Uniwersytet Szczeciński, Wydział Humanistyczny, Stosunki Międzynarodowe - magister (2010) Uniwersytet Szczeciński, Wydział Zarządzania i Ekonomiki Usług, Nauki Ekonomiczne - doktor (2016)",wyższe,doktor,0,nauczyciel akademicki,41,Szczecin,zachodniopomorskie,33222,poseł na Sejm RP VIII i IX kadencji,3,True,,,
231,Jagna Marczułajtis-Walczak,KO,1978-12-15,47,Zakopane,K,"Akademia Wychowania Fizycznego w Krakowie, Wydział Wychowania Fizycznego, Trenerska - magister (2004) Akademia Wychowania Fizycznego w Krakowie, Specjalizacja Trenerska, Trener I klasy Snowbord (2006) - studia podyplomowe Uniwersytet Jagielloński w Krakowie, Wydział Zarządzania Organizacjami Sportowymi, Menedżer Sportu (2011) - studia podyplomowe Akademia Wychowania Fizycznego w Krakowie, Specjalizacja Trenerska, Trener Klasy II Narciarstwo Alpejskie (2011) - studia podyplomowe",wyższe,magister,3,"nauczyciel, trener",13,Kraków,małopolskie,35573,"poseł na Sejm RP VII, VIII i IX kadencji",4,False,Zrzeczenie,Wybrana na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
232,Dorota Marek,KO,1973-12-28,52,Krzeszowice,K,"Wyższa Szkoła Marketingu i Zarządzania w Chrzanowie, Wydział Zarządzania, Zarządzanie w Administracji Publicznej - licencjat (2012) Akademia WSB, Wydział Zarządzania, Zarządzanie i Dowodzenie w Sytuacjach Kryzysowych - magister (2015) Akademia WSB w Dąbrowie Górniczej, MBA (2018) - studia podyplomowe Akademia WSB w Dąbrowie Górniczej, Ochrona danych osobowych w administracji i biznesie (2019) - studia podyplomowe Kujawska Szkoła Wyższa we Włocławku, Przygotowanie do wykonywania zawodu nauczyciela (2020) - studia podyplomowe Uniwersytet Ekonomiczny w Katowicach, Audyt i Kontrola Wewnętrzna w Administracji Publicznej (2021) - studia podyplomowe Uniwersytet Ekonomiczny w Poznaniu, Cyberbezpieczeństwo w sektorze publicznym i podmiotach świadczących usługi kluczowe (2023) - studia podyplomowe Uczelnia Nauk Społecznych z siedzibą w Łodzi, Executive Doctor of Business Administration (DBA) (2024) - studia podyplomowe",wyższe,magister,6,przedsiębiorca prywatny,13,Kraków,małopolskie,14141,brak,1,True,,,
233,Dariusz Matecki,PiS,1989-02-06,36,Szczecin,M,"Uniwersytet Szczeciński, Wydział Prawa i Administracji, Prawo - magister (2017) Uniwersytet Szczeciński, Podyplomowe Studium Menadżerskie Master of Business (2020) - studia podyplomowe",wyższe,magister,1,prawnik,41,Szczecin,zachodniopomorskie,14974,brak,1,True,,,
234,Jerzy Materna,PiS,1956-03-25,69,Zielona Góra,M,"Wyższa Szkoła Inżynierska w Zielonej Górze, Wydział Budownictwa, Technologia i Organizacja - magister inżynier (1983) Wyższa Szkoła Handlu i Finansów Międzynarodowych, Wycena Nieruchomości (2002) - studia podyplomowe",wyższe,magister inżynier,1,inżynier budownictwa,8,Zielona Góra,lubuskie,17470,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
235,Grzegorz Matusiak,PiS,1961-02-24,64,Jaworzno,M,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Elektromechaniki, Automatyki i Elektroniki, Elektrotechnika - inżynier (2001)",wyższe,inżynier,0,parlamentarzysta,30,Bielsko-Biała,śląskie,12690,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
236,Katarzyna Matusik-Lipiec,KO,1975-06-29,50,Gorlice,K,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Nauki Polityczne, specjalizacja: Stosunki Międzynarodowe - magister (2000) Akademia Górniczo-Hutnicza w Krakowie, Zarządzanie Przedsiębiorstwem (2019) - studia podyplomowe Uniwersytet Ekonomiczny w Krakowie - Krakowska Szkoła Biznesu, MBA in General Management, specjalność Corporate Management (2022) - studia podyplomowe",wyższe,magister,2,menedżer,13,Kraków,małopolskie,9261,poseł na Sejm RP VI i VII kadencji,3,True,,,
237,Marek Matuszewski,PiS,1959-08-14,66,Zgierz,M,Technikum Samochodowe w Łodzi - technik (1988),średnie zawodowe,,0,parlamentarzysta,11,Sieradz,łódzkie,17412,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
238,Paulina Matysiak,niez.,1984-10-02,41,Kutno,K,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Filologiczny, Filologia Polska - magister (2009) Collegium Civitas (Warszawa), Filozofia XX wieku (2011) - studia podyplomowe Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Humanistyczny, Etyka (2015) - studia podyplomowe Politechnika Warszawska, Interoperacyjność Systemu Kolei (2023) - studia podyplomowe",wyższe,magister,3,filolog,11,Sieradz,łódzkie,17695,poseł na Sejm RP IX kadencji,2,True,,,
